-1,0,-2,-17,-12,1,2,3
0,-2,0,-1,-4,4,4,1
-1,-1,0,2,-5,3,-2,-1
-1,-1,-2,-3,13,0,-2,-2
-1,-1,-2,-3,-2,0,-4,-2
0,0,0,-3,-15,0,1,-2
-2,-1,-3,12,10,-4,-2,-1
1,1,-1,-3,5,0,-2,-1
0,-2,-1,-8,-14,-2,-2,-1
0,-1,-2,1,2,1,-7,-1
-1,-1,-1,-4,-8,-3,0,-2
0,-1,-1,-3,2,1,2,0
-2,0,-1,-1,3,-3,-3,-3
-1,2,1,0,-3,-3,-3,0
-1,0,-1,-3,4,2,0,1
-2,-2,-1,-1,-1,-1,-2,-1
1,0,-1,0,-1,-3,-3,-2
-1,-3,-4,-5,5,-2,-4,-2
2,-4,-12,7,-6,3,10,1
1,1,7,2,-2,14,2,1
-1,4,12,-1,-2,-2,-7,-3
-4,-3,-1,1,1,-4,-3,-2
-1,-2,-1,1,9,-8,-6,-3
-1,-4,-9,-7,-5,-4,1,-1
-1,-4,-6,2,-3,-1,2,-1
-1,0,0,-5,-6,-3,-4,0
1,2,1,-5,-3,7,2,0
-2,-2,-3,-5,-3,-5,-2,-2
-3,-3,-2,3,7,-4,-1,-2
2,-4,-8,1,-4,-23,-6,-1
3,2,-7,-2,-7,4,9,1
4,12,21,0,12,39,-1,-4
-7,-14,-13,-6,-2,9,-8,-1
-1,-3,-5,-6,-3,-7,3,2
-4,1,16,2,-4,-13,-9,-5
-3,-5,-13,-3,-10,-22,-3,-1
-1,-4,-25,-2,0,8,5,1
-5,-6,11,5,8,5,-1,-2
1,1,-6,-7,4,-9,-6,0
0,2,5,1,0,-4,3,-1
-2,1,6,4,0,-4,1,2
2,2,-5,0,-6,4,5,1
2,4,4,-1,-2,8,0,-3
-2,-4,-1,-3,-2,-6,-4,0
3,1,-2,-2,-1,-10,-3,0
-3,-5,-5,-2,-1,1,2,-2
-2,6,31,6,-2,-5,6,-1
7,18,-36,-6,-1,-7,-6,0
-10,-27,11,-13,-16,4,-20,-9
-4,-4,2,-3,1,-1,-3,0
-1,-10,-30,-3,2,4,-5,-2
-1,5,30,10,-3,-10,6,-2
7,23,25,9,5,-3,8,3
-1,-1,-31,-9,-5,-2,-5,-4
-6,-6,20,-4,-3,-5,-6,-1
-1,-18,-25,-7,6,21,6,3
-1,6,-2,1,-3,-6,0,-1
2,5,18,7,6,4,-1,1
0,2,-15,1,-3,-13,2,-1
-4,-6,-5,-4,-4,-11,-10,-4
-1,-2,10,0,2,0,-4,-1
0,5,0,0,-5,11,7,3
-1,-1,-7,-8,-3,-4,-5,-1
-4,-7,-2,1,2,-4,-2,0
-1,-3,-13,0,-2,-7,4,-2
1,-3,-6,-4,-2,-3,-4,-3
5,12,30,4,3,9,-2,-1
-1,-5,-10,1,-4,0,-10,-2
-1,0,-4,0,3,-4,2,-1
-4,-10,-21,-3,-2,2,-1,-1
-2,-6,-42,1,0,3,4,1
-3,1,3,-3,-3,-4,0,-1
-5,-13,-16,-8,-5,0,-6,-4
2,1,-17,4,17,19,3,2
-1,-2,5,-3,-1,-1,3,-1
-2,4,12,3,-1,-8,0,0
5,12,1,0,-2,-3,0,3
-3,-4,16,1,-4,-1,-1,-3
0,3,1,-5,-1,2,-3,0
-4,-13,-11,-2,-3,-3,-8,-4
-2,12,27,1,3,6,2,-1
-3,-8,14,-2,-8,-11,-7,-4
3,-14,-99,-3,-2,5,-2,2
-2,3,20,0,0,-4,-3,-3
-3,1,-6,0,1,-2,5,1
3,4,8,0,0,-1,2,1
-6,-7,-9,-8,-3,3,-8,-4
2,-2,-9,1,-2,-3,6,3
2,-1,-5,1,1,-2,1,1
7,15,51,5,1,0,-1,-3
-8,7,11,0,-2,-5,1,-3
-5,-27,-6,-18,-8,3,-17,-7
-6,-19,-31,-9,-7,-7,-5,-5
2,3,-8,-1,0,8,2,-1
2,6,25,6,1,-2,1,-3
-3,11,13,5,4,-8,5,-1
4,-3,-28,-6,3,9,5,4
-4,-7,3,-1,-4,-7,-5,-1
2,-3,21,6,-1,0,1,1
-3,6,4,-4,-4,-2,-2,-3
-4,-2,23,-4,-4,-7,-1,-5
-2,-1,-40,0,6,9,3,1
-1,9,54,0,-4,-8,-3,-3
5,13,65,8,1,-7,0,3
18,-2,-64,1,-2,-5,-6,-1
-14,-11,-26,-10,-6,-6,-2,0
-4,-6,7,-5,-4,0,-4,1
39,4,-8,5,5,10,11,4
-41,7,-19,4,2,-3,1,-3
17,-1,29,-3,-8,-5,-10,-4
-25,-20,-46,-8,2,6,-5,-17
-11,5,4,-4,4,10,8,2
34,-2,3,3,4,5,2,5
2,11,11,7,-2,-9,2,1
-7,0,40,0,-5,-8,-3,-1
-6,-16,-54,-2,-1,3,4,-2
-4,4,25,1,0,0,1,-3
-13,0,17,-1,-1,-7,-3,-2
17,-3,-24,5,2,3,3,6
-5,1,8,-6,-3,-12,-6,-5
16,-5,-5,-4,-2,5,3,12
1,5,1,-1,1,-13,-6,-15
-38,-10,-5,0,-5,6,-2,-5
-12,-4,-1,2,-2,5,-1,2
-7,-11,-30,-3,1,-3,-5,-1
15,5,-13,-1,-2,1,4,8
64,3,6,-1,3,-7,-4,10
-48,2,22,-8,-6,-7,-4,-17
-7,-9,-14,1,-5,5,-2,-8
-9,5,2,1,1,0,1,0
11,4,5,3,4,7,4,12
1,2,8,1,-3,-9,1,-2
-11,-10,-8,-2,3,9,1,-4
-2,1,-2,-1,-4,-1,-3,1
14,4,10,-1,-6,-14,-1,7
-1,9,17,3,3,6,6,-1
-15,-7,19,2,0,9,-9,-7
12,-9,-15,-4,-2,8,4,10
-48,-4,1,-4,-4,-14,-3,-17
21,1,-10,8,5,-1,4,8
10,-2,-32,-3,-3,-9,-4,-1
26,1,11,-5,-5,-4,-2,12
-4,1,11,1,1,-4,-8,-11
-8,-8,-22,-4,-2,-7,-5,-10
-13,15,44,3,-2,-8,-3,-5
-9,-4,-11,-4,-3,-5,-12,-2
-3,-9,-18,-1,2,5,5,1
5,-3,-16,1,1,-3,2,2
9,0,10,-5,-3,-8,-1,9
40,4,24,-2,-1,-4,4,3
-44,-7,-46,-6,-8,5,-15,-16
11,-6,-3,-2,8,22,5,6
9,11,42,2,-6,-11,-3,9
-20,1,-20,1,4,0,-1,-17
2,0,10,-7,-2,1,-1,-1
6,-16,-41,-1,-6,-12,-8,1
-13,2,3,-4,1,4,1,-7
-18,2,1,1,1,0,1,-4
18,-4,-3,1,6,15,6,6
-4,3,-11,-2,-2,10,1,-2
17,3,8,6,-1,-17,0,2
-17,-6,11,2,0,5,0,1
0,3,5,-4,0,-2,-1,-8
2,-1,-10,-2,-4,-11,-5,7
41,5,14,4,-2,-7,6,7
-74,-6,-21,-7,-2,-11,-6,-24
9,5,40,7,-1,-1,0,6
-7,-5,2,-1,2,12,2,2
10,-2,-4,-1,-2,-3,-4,-9
-4,-5,-4,3,1,4,3,2
11,8,3,0,2,3,0,14
-7,-8,14,-11,-6,-14,-7,-16
-29,-8,-37,-1,-2,6,-3,-3
16,-5,-6,1,3,12,-2,1
5,-6,-8,-5,-3,-8,2,-1
-5,1,-2,3,-4,-7,-5,3
3,1,8,-5,3,25,7,5
-20,16,5,5,1,-6,4,-7
25,-6,11,-1,-3,-9,0,10
3,-9,-19,-1,3,7,-4,2
28,-11,-2,-5,-2,-2,0,31
-39,11,7,1,0,1,2,-40
14,1,-1,-5,-5,-10,-3,-3
-2,7,0,-2,-4,11,6,-2
-1,3,9,1,3,-1,-11,-6
18,-11,-8,-8,-5,-17,-1,14
-9,1,-13,0,5,12,6,-2
12,3,9,2,-1,-9,-4,-5
-13,1,9,0,-3,-3,0,-3
5,-9,-5,-10,-6,0,-5,0
-33,-7,-13,3,-2,-2,-1,-12
17,-2,-10,-2,-1,-9,2,14
6,9,22,3,4,8,3,-11
15,2,-5,-1,-3,-1,-4,13
2,4,0,0,2,-1,-1,-6
-21,4,16,6,1,9,4,-4
-15,-12,-23,-11,-9,-19,-6,-3
8,6,32,4,-1,-8,1,2
15,-8,-37,-2,-4,-9,-5,13
6,8,25,-1,-2,-7,1,-9
-41,2,-2,2,-2,-9,-6,-13
32,-7,-9,-1,-1,1,-2,12
-10,-1,14,-2,-10,-1,3,-6
-4,0,-13,0,10,8,-6,3
-17,-1,37,0,3,9,-3,-12
8,-6,-56,-4,1,0,-5,-3
-13,-1,20,1,0,-3,-3,-2
-6,-11,-27,-8,-8,-21,-8,-9
-22,-10,-14,-6,-1,16,5,-2
13,6,12,6,3,10,1,-2
10,6,2,4,0,-8,2,4
13,5,1,-1,1,6,0,5
2,-1,-1,1,-6,-16,-6,-5
-13,-6,21,-5,-6,-3,1,1
-1,-6,-68,-5,10,10,0,-4
13,6,33,-1,2,-3,0,2
6,2,-14,0,2,14,-2,3
11,-5,1,-2,-5,5,-2,-1
1,-4,2,-5,-5,-19,-4,0
-65,0,15,-3,-6,-11,-1,-23
40,6,-16,-1,-7,-12,-7,10
-18,-7,-7,-5,-10,-20,-6,-6
-5,-2,14,2,29,84,19,7
15,-5,-3,-1,-12,-33,-14,21
-17,12,12,3,-2,-13,5,-27
-6,-1,-8,-6,-2,-4,-6,0
11,3,22,-2,-11,-23,-7,2
-1,0,-35,1,-10,8,0,0
7,-3,15,0,10,21,2,4
-2,1,-2,3,0,-11,-6,2
-16,0,11,2,1,9,10,-7
16,-4,-15,0,12,24,11,4
-15,5,1,0,-4,-17,-7,-4
33,-7,-7,-3,2,12,5,6
0,0,11,0,-6,-16,-10,-5
-39,0,11,5,-7,-12,-1,-17
7,-8,-9,-7,2,22,2,19
7,0,-12,0,6,0,4,1
12,-5,-18,-3,-7,-14,-9,0
-13,4,24,2,1,1,5,-2
22,4,2,0,-15,-45,-8,1
28,-2,3,-2,35,80,14,18
-54,-4,-6,0,-13,-46,-26,-25
12,-1,-12,-4,1,11,6,0
-11,-2,20,6,12,13,15,13
26,3,9,4,-8,-24,3,6
-21,2,-26,-5,3,20,6,-28
25,2,12,-2,-14,-8,-20,3
-23,-11,-7,-8,7,-13,-3,-4
-20,-2,-3,0,-4,22,6,-2
7,-3,-2,-6,2,-20,1,10
14,-3,34,-3,-9,-26,5,9
12,6,-42,1,-1,18,-6,3
-61,-4,-37,-6,-5,-33,-15,-17
53,12,27,3,-6,37,17,13
-29,-9,-16,-3,11,5,-7,-9
31,6,19,4,-11,-7,6,16
-51,-2,7,1,5,-1,-8,-23
-11,-7,-25,-7,-4,2,-3,-14
9,-1,34,2,-15,-11,-4,0
33,1,-13,2,5,-15,-2,6
-17,5,38,1,-8,-4,7,2
1,-5,-20,-12,-32,-9,-3,-8
-6,-5,-48,11,18,3,3,-21
-11,-1,14,2,-10,5,-3,0
27,14,24,2,9,7,6,7
-35,-9,-3,5,7,-13,-12,1
22,-5,5,-7,0,11,12,16
-27,-7,-10,-9,-19,-17,-7,-11
13,-5,-9,6,7,-4,1,2
56,1,25,-5,-7,-29,-8,33
-32,7,-22,-5,-7,14,5,-23
-58,-11,25,6,16,27,1,-46
1,-3,-43,-5,-10,-27,-10,-5
42,22,28,12,16,-4,3,24
-8,-9,-15,-16,-17,-27,-17,-7
-14,-13,17,-2,-16,-13,-8,3
-12,-24,-67,1,15,8,9,-14
9,12,33,11,10,67,15,13
21,31,7,2,-6,-19,-13,-2
56,-11,-11,-22,-11,-14,5,35
-58,13,63,2,-12,-19,-5,-50
7,-17,-54,-6,18,33,1,10
-17,-2,-14,7,27,57,15,0
-52,-7,-2,5,8,-7,-2,-1
106,5,10,1,-29,-41,-12,48
-33,8,21,-14,-14,-30,-2,-40
-32,-7,-2,-1,15,25,1,-11
5,3,-29,14,18,27,19,27
-6,9,76,-3,-13,-13,-10,-4
-15,-13,-5,10,-7,-51,-15,-3
38,-21,-90,-20,4,33,16,27
-28,9,16,11,7,-6,-11,-26
-16,-9,-16,-16,7,58,27,17
63,23,22,1,-19,-91,-13,6
13,-2,33,10,-35,-47,-22,-1
-62,-13,-18,-2,84,94,32,-28
21,-8,-9,-6,-18,-64,-15,-3
-101,-7,-7,-3,-11,-19,-7,-34
-2,-7,1,-4,-13,-37,-8,13
92,19,0,0,-30,-23,-8,2
-57,-4,-13,2,4,-9,-12,1
-9,-25,-29,6,9,15,17,16
27,24,75,21,30,64,11,-14
32,8,-17,-5,-8,-29,-18,2
-43,-2,-32,-5,-3,9,-10,-36
51,6,11,-1,-3,-8,1,27
-73,-15,12,-7,-3,-12,-6,-23
7,10,-2,12,-23,-29,1,12
38,2,16,-9,-1,-15,-11,-21
-60,-1,-6,4,30,88,10,-31
-7,-24,-19,-1,-11,-40,-7,14
26,13,16,30,13,26,2,-15
16,6,-13,-43,-22,-31,-14,-3
12,-9,-4,1,10,4,4,23
-26,7,43,6,6,-10,2,-17
-12,-8,-61,-19,-15,-8,-3,8
105,4,-26,17,5,20,15,39
-108,-12,6,-6,-16,-19,-23,-53
36,4,-8,-5,16,11,6,23
-1,6,54,1,-7,-10,-5,-23
-40,-13,-16,4,20,54,13,-10
30,0,-20,-8,-29,-37,0,13
-33,1,11,12,8,15,3,-20
-24,-15,4,-8,1,-5,3,3
18,9,-12,5,-8,28,5,8
-29,-4,2,6,20,23,5,-9
14,-4,-3,-7,-4,-3,-1,8
36,31,68,-3,-2,-4,3,6
-38,-21,-47,-1,-6,-1,-4,4
48,2,-32,2,-7,-28,1,19
21,-1,12,-6,-33,-24,-8,-9
-25,-9,-4,4,29,11,-1,4
36,20,35,4,-2,-17,2,25
14,-4,0,-11,-2,26,-4,-11
62,-4,-31,-9,15,12,13,39
-66,-14,-29,9,-37,-34,-13,-29
-12,8,35,-2,12,-8,3,14
17,2,9,-5,6,36,9,-2
-12,5,-32,5,-1,-26,1,4
69,-2,-20,-22,-4,-7,4,24
-67,-1,46,30,23,39,6,-13
5,5,-4,-13,-21,-10,-8,1
27,-4,-9,-5,-7,2,-9,7
-12,-5,-8,-2,12,11,9,-2
-13,-10,-1,-8,-11,-28,-13,-6
11,10,2,-5,4,3,0,4
-20,2,12,-2,-12,-6,-9,-24
-4,0,-4,0,1,-1,2,6
46,-5,0,3,-1,-14,2,26
-27,-17,-20,-10,4,-5,-4,-4
10,2,-18,-1,-4,18,-5,19
-86,-5,-1,-5,0,9,-7,-29
23,-3,16,-8,-5,5,0,-5
-18,4,28,8,-4,-53,3,10
37,1,-67,5,23,33,7,15
-4,-2,20,11,-14,13,-5,-8
-16,-11,-6,-20,2,-5,-8,-15
-14,-8,-16,2,-7,-9,-3,-3
29,-3,28,3,-9,-21,-4,7
-74,8,30,-13,8,-9,-11,-55
6,2,-16,19,-2,11,3,6
31,-5,3,-6,19,40,7,4
-50,7,18,3,-3,-30,-3,-17
9,-18,-23,-11,-23,-11,-14,4
38,14,-6,7,18,27,16,13
-21,-12,-17,-8,13,32,-5,-3
-26,2,22,6,5,-3,6,-21
-26,-10,17,-1,-6,-20,1,17
14,12,-25,-4,-2,-12,-9,-26
56,3,-19,14,-4,17,7,16
-64,0,3,1,18,31,3,-8
8,0,-5,-7,4,7,-4,10
4,-7,6,3,-16,-32,0,2
-3,14,18,-1,-18,-39,-7,-2
32,1,-4,-3,0,-5,-1,-4
50,4,5,14,-14,18,7,30
-25,-11,2,3,4,-13,-9,12
-51,3,12,2,-5,-22,-6,-28
6,-2,-27,-19,-22,-30,-9,-4
28,4,36,10,37,48,23,27
15,4,15,1,-10,-28,-13,1
-10,-14,-59,-9,7,13,7,10
-8,5,20,22,-13,7,0,20
54,8,22,-5,-18,-36,4,-12
-38,-13,-73,-11,9,49,9,-19
-5,13,41,12,18,-1,0,-6
54,2,31,-7,-1,-9,-2,-10
-31,-7,-26,2,-13,-5,-13,-19
19,3,14,5,0,13,8,14
-71,5,3,-4,-16,-30,-17,-30
12,-12,-29,0,33,35,10,6
-20,-6,7,-20,-18,-37,-13,4
18,7,-24,6,-1,-34,-13,-4
21,-8,8,15,7,38,12,21
-8,-5,7,-37,-9,21,-1,2
-18,10,-15,12,7,-21,7,17
-20,-9,4,-10,2,0,-9,-30
58,22,67,20,20,15,9,18
-48,-8,-32,-2,-30,-50,-25,-23
91,-8,-23,-13,-10,1,3,18
-85,-3,5,-10,-20,-5,-5,-13
18,3,27,15,-5,-21,-5,-5
-23,-15,-34,-7,22,34,15,2
54,18,32,1,13,32,5,14
-13,-3,23,-5,-16,-32,-15,-14
22,-12,-45,-14,-6,-12,-4,30
-52,-9,-40,-5,-8,29,11,-36
3,-1,28,9,4,-26,-23,-46
-29,-5,-33,-11,-12,4,-1,-2
3,-5,7,6,-3,-6,-9,-3
7,4,27,3,-25,-76,-11,17
10,-4,-50,-11,1,14,9,-1
10,3,20,15,31,53,3,6
-17,4,-6,4,-7,-10,-5,-3
46,8,13,-20,-3,-10,-1,10
-60,-8,30,1,0,-5,4,1
21,6,-5,-3,0,2,4,-8
-10,-13,-48,-15,4,44,1,-9
42,-7,-1,13,-2,-37,1,37
-65,24,38,-4,-2,27,-10,-32
-6,-23,-33,-7,-19,-54,-5,8
52,30,40,15,35,78,22,14
-57,2,54,9,17,4,1,-11
25,-15,-27,-11,-28,-53,-25,16
2,-1,21,5,-4,57,25,25
6,5,2,-13,-1,-29,-15,-40
-49,3,-5,9,-11,-45,-15,-8
9,1,-26,-8,19,80,25,15
-6,7,29,11,-12,-39,-8,2
-6,-11,-36,-5,3,3,5,20
27,-1,24,-4,10,10,-6,-12
1,-8,-15,-3,-23,-71,-17,0
45,-8,-16,-2,20,51,9,22
-74,-4,-6,-11,-7,-9,6,-24
5,10,55,12,-4,-11,-16,-36
-9,-34,-112,-15,9,4,4,1
25,18,64,-8,-7,-7,-1,-1
21,-6,-24,-9,-18,-37,-19,7
-6,-1,-5,14,0,30,10,18
16,-12,-8,-3,3,2,-2,-7
-17,14,8,-1,7,-2,2,-6
3,-2,14,-1,-22,-59,-12,8
-17,-12,-37,-19,-10,2,-10,-8
22,9,16,13,31,73,19,13
-28,-13,7,3,-7,-69,-11,24
22,26,28,3,5,22,-3,-45
6,5,13,4,-6,4,10,19
35,-8,-20,-3,-8,0,1,24
-100,5,-13,-18,-22,-24,-30,-54
24,-39,-54,-1,-8,-35,0,28
28,10,-8,2,11,35,12,8
-9,1,10,5,-11,-43,-5,1
20,21,16,12,-10,-26,-7,8
-28,-9,36,3,3,47,3,-23
18,-7,-60,-15,22,26,8,4
4,8,-2,4,-21,-47,-6,9
56,10,14,9,35,19,15,6
-55,-31,-48,-6,-15,23,-3,-13
-7,13,56,-15,-1,-17,-6,8
36,0,-3,5,-12,-29,-11,-10
44,-8,-30,-1,3,41,5,4
-38,5,32,-3,-29,-30,-4,-6
-21,0,15,7,21,31,7,20
-32,-10,-33,-12,-15,-38,-22,-68
-22,-2,16,17,7,41,17,1
-7,-2,26,-16,10,8,-3,-5
3,-16,-86,-7,-13,-35,-2,11
19,33,52,5,-4,12,-8,-26
-29,-14,-21,-4,13,5,7,-8
10,-2,6,9,6,23,5,4
9,2,10,0,-14,-25,-12,-10
-41,5,11,7,13,30,6,15
6,-39,-63,-4,2,-17,-7,-2
63,7,2,0,7,21,17,17
-78,16,54,2,9,43,3,-67
-26,-19,-61,-7,0,21,-9,13
-3,-6,27,1,-10,-59,-9,10
-16,2,14,33,36,55,16,-14
18,-5,15,-18,4,14,11,23
14,29,38,9,-8,-34,-2,-9
-10,-16,-32,-10,14,31,13,9
26,-6,-18,-14,-18,-46,-16,32
-36,0,4,22,-1,-40,-4,-27
-14,0,-9,1,32,64,18,18
99,6,12,-2,1,8,-7,13
-56,-3,5,-5,6,16,-5,-21
11,-6,-3,3,-13,7,2,11
-21,-23,-39,-19,-23,-65,-8,-3
13,18,11,4,6,43,7,4
2,6,-14,5,17,30,9,1
-3,-7,-3,-5,-6,-44,-21,-9
-9,-2,19,3,3,5,14,22
54,2,8,-2,-9,-30,-9,-6
-12,17,42,-5,-5,7,7,-1
-1,-18,-38,-4,-8,-6,-11,-5
5,-4,39,-1,-10,-10,-1,12
-33,1,-14,19,3,5,1,-10
8,1,10,-45,-45,-71,-18,-8
32,-4,-14,10,-3,49,0,-12
3,1,-14,-9,19,12,14,-5
-40,0,4,4,-22,-41,-18,-20
16,-2,8,-1,18,18,3,22
-3,6,-9,5,-22,-29,-15,-32
-44,-45,-95,1,-14,-1,12,20
23,30,78,-24,4,32,-2,-45
9,13,-8,26,-26,-50,-27,7
6,-11,-10,-29,9,8,3,9
-10,1,28,15,-3,-34,-11,-15
-30,-17,-57,-9,7,55,23,22
-10,-5,31,-3,-7,-52,-8,-4
52,16,-11,14,29,35,14,17
-4,-3,-1,-3,-9,-40,-25,-9
-35,-5,4,-5,-1,6,5,0
41,5,-27,-18,-10,14,6,-5
-17,12,50,18,10,-5,5,29
-36,-7,25,-17,-15,-12,-11,-16
99,4,-7,7,8,-19,8,21
-97,-5,-1,7,-4,2,-12,-52
43,1,-11,-2,-9,-39,0,45
-14,-1,12,-4,10,63,6,-15
-59,-4,5,0,-16,-68,-18,-2
-3,-15,-28,-9,-11,-30,1,9
100,2,-51,1,-8,15,11,9
-7,18,29,-4,15,29,-6,-14
-42,-15,2,-1,-4,-15,-9,8
17,-1,-10,0,-4,-26,1,1
19,-9,23,11,-15,-59,-11,2
16,18,21,-9,34,86,19,5
-16,-3,-21,1,-2,-59,-15,1
12,-6,6,-8,-9,46,4,4
-44,-8,0,3,11,34,0,-7
38,1,-21,7,-5,-42,-4,15
-6,-1,17,-7,-6,-7,-4,4
-16,-1,17,4,-8,-76,-9,-3
18,27,35,3,9,79,13,-25
-8,-28,-77,-11,14,69,3,19
-16,0,13,-12,-26,-31,-16,-13
6,-7,-8,6,7,-3,1,6
-32,-8,-6,-6,-3,-11,3,1
-8,9,36,8,-3,-22,5,-8
48,3,-8,5,-17,-35,-2,9
-22,7,-11,-15,53,118,27,-16
-50,-24,2,6,-24,-104,-33,18
55,36,27,3,-23,-36,3,-48
8,25,43,36,62,58,22,-5
9,-13,-7,-3,-22,-83,-16,15
-13,-4,-7,-10,-10,-3,8,4
-46,-24,-5,3,-20,-44,-31,-8
-7,-3,-26,-32,-17,6,8,-7
47,17,24,8,16,62,10,0
-31,-6,-2,1,19,22,0,-1
-1,0,20,11,-3,-19,4,5
-2,2,-30,-1,0,20,1,-7
1,-3,3,4,-5,-18,-7,8
-57,-25,-32,-29,-27,-95,-7,19
107,60,56,23,38,69,28,-24
-59,-21,12,-19,-11,-35,-39,-16
-18,-10,-9,11,-1,-54,-5,5
10,-1,-11,1,2,9,10,2
-21,-13,-4,-12,-18,-39,-3,7
0,-2,-5,0,1,25,8,-7
37,5,-17,-2,7,26,8,25
-5,2,21,1,-6,13,-10,-31
-17,-12,-8,-4,-3,-11,3,30
